project_id,sprint_velocity,scope_changes,team_load,on_time
1,448.25,313.51,55.45,1
2,265.15,257.34,140.71,0
3,341.44,130.43,200.51,0
4,337.91,147.05,310.4,0
5,286.77,246.48,296.65,1
6,267.02,259.49,243.56,0
7,11.95,410.99,350.28,0
8,376.7,462.94,406.15,1
9,484.81,379.72,44.22,1
10,391.25,55.45,204.4,0
11,262.1,149.4,373.32,0
12,481.39,421.73,287.45,1
13,312.18,436.33,30.27,0
14,488.7,230.66,403.81,1
15,396.64,379.15,147.75,1
16,19.74,321.32,264.49,0
17,84.74,358.91,423.54,1
18,451.7,173.02,238.78,1
19,59.5,438.36,370.58,1
20,109.35,178.68,310.72,0
21,136.06,326.89,23.87,0
22,184.32,281.54,44.61,0
23,201.68,218.61,436.86,1
24,228.19,443.17,320.3,1
25,272.86,471.61,418.72,1
26,260.47,223.03,121.2,0
27,119.35,390.84,91.34,0
28,416.02,258.25,480.4,1
29,312.75,50.16,93.3,0
30,163.16,191.2,117.65,0
31,75.03,343.93,195.0,0
32,477.28,88.17,410.31,1
33,464.22,235.61,77.54,0
34,281.78,387.72,486.87,1
35,285.76,82.21,255.51,0
36,490.67,477.3,427.41,1
37,451.77,191.79,349.61,1
38,466.11,48.51,34.51,0
39,322.1,31.74,191.01,0
40,436.98,391.89,230.65,1
41,320.12,372.51,436.6,1
42,426.3,215.19,256.22,1
43,131.89,153.02,289.3,0
44,146.57,195.81,394.46,0
45,413.26,46.51,169.97,0
46,125.13,291.64,428.99,1
47,33.3,235.28,359.11,0
48,83.35,231.16,415.99,0
49,300.52,147.11,170.76,0
50,247.55,470.04,293.63,1
51,189.02,451.53,471.1,1
52,267.9,86.83,28.72,0
53,450.6,204.47,252.74,1
54,222.02,308.36,168.55,0
55,489.68,305.21,45.3,1
56,407.72,411.84,285.33,1
57,368.44,28.65,318.33,0
58,253.26,313.43,396.78,1
59,58.61,297.09,174.45,0
60,258.74,412.7,435.74,1
61,477.64,198.16,62.73,0
62,18.37,476.47,310.58,1
63,111.88,328.75,300.8,0
64,235.31,22.28,376.3,0
65,82.36,68.86,212.66,0
66,236.12,308.62,416.03,1
67,320.98,371.64,10.31,0
68,179.83,455.93,198.63,1
69,219.97,270.46,346.52,1
70,302.53,99.87,421.47,1
71,421.69,440.0,169.95,1
72,421.16,145.33,364.28,1
73,375.6,291.82,325.64,1
74,20.07,391.7,66.56,0
75,113.81,159.66,35.28,0
76,28.05,144.51,409.07,0
77,334.37,209.56,104.5,0
78,476.89,113.48,474.64,1
79,296.25,302.21,482.52,1
80,180.65,423.59,77.85,0
81,196.86,442.48,13.54,0
82,322.12,320.24,355.61,1
83,483.17,263.51,141.87,1
84,344.78,356.67,161.35,1
85,98.55,238.31,125.53,0
86,191.76,25.9,427.97,0
87,321.17,123.8,132.43,0
88,186.74,276.91,224.73,0
89,350.45,91.07,299.81,0
90,59.8,467.06,293.25,1
91,381.81,450.88,394.84,1
92,202.54,218.65,292.94,0
93,227.24,45.21,132.42,0
94,430.21,377.47,438.74,1
95,38.23,451.1,429.73,1
96,375.56,466.37,249.19,1
97,153.09,465.6,124.95,0
98,295.59,287.28,409.85,1
99,176.67,489.19,91.24,0
100,215.6,85.07,451.38,0
101,329.97,24.92,358.66,0
102,247.09,369.96,477.76,1
103,57.21,390.35,335.76,0
104,47.41,100.5,76.7,0
105,293.36,94.49,467.8,1
106,44.11,359.82,499.87,1
107,308.55,390.82,373.81,1
108,460.26,480.53,45.67,1
109,239.21,372.7,139.55,0
110,100.7,201.92,459.51,0
111,19.3,332.48,29.83,0
112,356.15,422.56,384.89,1
113,76.09,433.97,76.91,0
114,53.97,104.04,367.69,0
115,155.91,155.77,383.29,0
116,83.4,344.14,386.08,1
117,277.22,225.06,335.39,1
118,27.36,409.32,332.99,0
119,410.9,100.26,414.47,1
120,472.95,47.66,169.81,0
121,125.8,98.21,99.23,0
122,450.13,378.44,103.04,1
123,265.41,211.79,229.8,0
124,457.1,489.82,472.46,1
125,220.24,79.44,234.52,0
126,201.25,383.28,342.24,1
127,235.01,58.24,329.4,0
128,451.2,56.18,52.72,0
129,284.83,277.6,119.14,0
130,226.59,234.19,56.82,0
131,95.91,322.04,440.59,1
132,98.76,261.82,369.6,0
133,340.9,25.87,182.36,0
134,151.17,34.93,279.73,0
135,35.87,110.16,459.76,0
136,253.07,73.82,439.98,0
137,379.8,46.63,289.85,0
138,342.59,409.29,480.37,1
139,276.73,442.56,169.69,1
140,176.09,171.49,98.0,0
141,298.41,147.16,472.91,1
142,485.35,23.41,25.6,0
143,109.7,189.7,59.07,0
144,335.72,190.87,436.15,1
145,112.57,59.39,181.58,0
146,413.45,220.52,330.02,1
147,482.01,424.98,403.72,1
148,406.74,185.81,105.0,0
149,268.77,238.15,291.3,1
150,490.06,12.89,394.52,1
151,49.77,312.06,463.11,1
152,23.44,123.9,91.77,0
153,295.75,460.7,179.98,1
154,412.63,497.6,393.1,1
155,332.52,253.62,426.25,1
156,212.85,493.57,178.74,1
157,417.51,140.95,398.4,1
158,460.0,201.93,354.01,1
159,218.01,288.34,24.75,0
160,11.65,308.39,217.64,0
161,336.11,427.39,93.52,1
162,319.5,408.57,81.44,1
163,325.76,312.48,213.23,1
164,63.19,287.94,177.25,0
165,193.75,133.07,434.25,0
166,492.5,344.12,165.58,1
167,326.71,435.44,23.79,0
168,12.77,39.75,195.95,0
169,41.32,145.57,499.69,0
170,455.75,22.69,15.4,0
171,38.42,498.84,65.89,0
172,333.34,321.25,486.75,1
173,432.56,334.77,86.75,1
174,293.65,146.39,412.71,1
175,16.47,425.08,35.16,0
176,399.15,187.21,81.72,0
177,149.68,256.89,161.36,0
178,381.55,473.67,72.58,1
179,284.07,360.55,389.08,1
180,430.4,296.24,338.99,1
181,216.28,407.96,47.69,0
182,465.04,143.54,283.35,1
183,436.51,215.33,263.37,1
184,234.53,402.75,320.04,1
185,307.07,135.58,69.8,0
186,339.07,16.62,454.12,1
187,487.42,260.01,30.18,0
188,59.56,38.81,110.75,0
189,232.4,342.45,311.57,1
190,273.11,358.35,74.14,0
191,48.37,463.9,489.6,1
192,249.59,126.44,39.24,0
193,260.78,319.95,424.81,1
194,346.19,465.16,340.74,1
195,12.93,210.89,192.2,0
196,252.89,83.63,381.24,0
197,34.84,265.13,315.65,0
198,110.94,55.06,206.62,0
199,170.71,387.88,202.58,0
200,436.69,448.75,364.15,1
201,296.63,428.11,434.09,1
202,133.17,462.13,263.61,1
203,359.67,230.95,220.43,1
204,384.6,200.4,211.43,1
205,203.52,134.22,365.91,0
206,259.2,74.17,476.37,1
207,142.45,275.4,443.31,1
208,246.28,446.05,380.91,1
209,470.43,89.35,53.64,0
210,172.61,348.52,310.81,1
211,395.48,446.33,284.79,1
212,403.55,45.0,210.74,0
213,328.45,16.29,91.43,0
214,417.95,357.55,152.94,1
215,404.41,404.12,494.69,1
216,472.37,351.76,140.67,1
217,153.7,84.32,434.68,0
218,38.28,497.29,396.25,1
219,119.32,295.51,404.48,1
220,382.29,113.39,66.59,0
221,238.13,159.56,275.14,0
222,313.89,77.46,191.6,0
223,110.02,88.41,321.75,0
224,246.72,428.14,174.44,1
225,464.32,248.34,264.11,1
226,304.91,327.7,269.53,1
227,58.91,131.74,409.41,0
228,212.28,332.49,158.44,0
229,466.54,439.6,99.42,1
230,419.23,431.37,405.43,1
231,378.15,310.31,82.94,0
232,366.88,328.44,71.03,0
233,213.58,464.18,311.28,1
234,389.86,38.79,266.27,0
235,459.66,234.72,344.22,1
236,38.03,365.18,346.59,0
237,464.89,118.74,157.37,0
238,75.25,393.84,85.51,0
239,24.92,334.91,416.71,0
240,117.73,401.5,272.21,0
241,286.23,427.92,412.15,1
242,452.06,424.17,355.01,1
243,229.76,395.64,262.69,1
244,301.9,457.59,161.4,1
245,308.56,70.17,308.45,0
246,252.67,437.17,225.96,1
247,65.95,366.83,148.97,0
248,436.25,286.44,254.29,1
249,450.75,231.89,181.22,1
250,459.04,296.78,312.28,1
251,189.7,133.82,250.2,0
252,96.98,286.86,130.69,0
253,153.91,487.74,399.69,1
254,167.08,129.34,392.98,0
255,275.35,322.43,390.71,1
256,450.23,364.34,443.84,1
257,125.76,234.84,466.85,1
258,171.35,270.76,287.68,0
259,234.55,226.24,51.45,0
260,227.97,78.3,47.48,0
261,427.49,480.29,263.85,1
262,95.64,211.09,280.91,0
263,244.07,17.15,428.83,0
264,120.97,57.95,448.78,0
265,170.11,354.32,108.01,0
266,257.43,19.57,105.23,0
267,481.13,142.51,169.58,0
268,398.82,43.13,260.93,0
269,405.6,413.93,175.95,1
270,68.97,171.41,175.33,0
271,373.31,349.54,167.74,1
272,65.99,239.05,425.07,0
273,400.5,358.88,426.64,1
274,235.74,358.92,499.41,1
275,228.8,81.69,284.76,0
276,165.88,374.95,11.77,0
277,346.86,162.76,179.97,0
278,478.31,49.11,337.74,1
279,409.98,451.59,394.37,1
280,78.6,15.76,434.83,0
281,331.75,236.26,496.52,1
282,256.24,393.17,325.15,1
283,299.5,40.23,25.39,0
284,158.27,52.27,118.85,0
285,84.32,231.77,152.82,0
286,270.63,66.63,29.6,0
287,313.78,30.34,211.51,0
288,235.81,348.3,171.87,0
289,13.72,263.34,194.02,0
290,360.7,466.41,266.5,1
291,379.05,220.58,322.64,1
292,166.72,136.29,492.12,0
293,250.35,64.84,371.91,0
294,421.94,369.72,407.8,1
295,245.5,107.26,310.37,0
296,246.99,144.38,379.8,0
297,309.76,480.56,462.48,1
298,326.55,67.44,460.96,1
299,458.35,270.35,79.03,1
300,483.1,427.76,58.52,1
301,275.33,286.53,375.12,1
302,90.97,72.92,308.98,0
303,477.26,462.51,243.45,1
304,424.66,470.72,313.88,1
305,104.85,18.97,213.46,0
306,27.21,114.67,438.44,0
307,436.51,419.02,169.55,1
308,319.44,114.64,378.72,1
309,11.12,147.69,343.22,0
310,55.06,207.16,236.98,0
311,434.09,139.36,378.35,1
312,156.01,498.62,294.6,1
313,407.75,259.07,198.17,1
314,400.95,391.93,165.16,1
315,120.49,205.42,104.88,0
316,285.24,127.33,14.23,0
317,32.62,37.23,152.95,0
318,175.86,157.67,37.46,0
319,12.19,395.84,314.92,0
320,315.68,303.55,148.9,0
321,54.37,392.55,31.75,0
322,226.76,200.87,197.35,0
323,31.66,51.01,325.39,0
324,132.67,333.02,473.75,1
325,476.76,417.14,150.37,1
326,347.46,334.29,13.97,0
327,35.46,376.11,336.4,0
328,364.55,65.41,46.75,0
