project_id,budget_k,actual_cost_k,estimated_duration_m,actual_duration_m,team_size,complexity,customer_satisfaction,on_time,on_budget,overall_success
1,218.54,213.08,12.63,8.18,9,9,2,1,1,1
2,477.82,539.99,4.26,5.24,8,1,1,0,0,0
3,379.4,353.73,5.42,3.99,4,1,2,1,1,1
4,319.4,248.16,16.48,15.73,8,4,3,1,1,1
5,120.21,132.85,12.1,14.67,20,9,1,0,0,0
6,120.2,110.06,3.14,3.21,4,6,2,0,1,0
7,76.14,64.11,4.52,5.26,20,3,2,0,1,0
8,439.78,440.49,12.95,14.56,17,1,2,0,0,0
9,320.5,312.84,3.08,3.87,4,4,3,0,1,0
10,368.63,398.97,5.41,6.56,8,9,1,0,0,0
11,59.26,64.55,11.23,10.21,3,3,3,1,0,0
12,486.46,491.11,13.38,15.07,17,9,1,0,0,0
13,424.6,387.03,12.78,8.88,12,7,2,1,1,1
14,145.55,149.73,6.36,6.29,19,4,1,1,0,0
15,131.82,134.0,13.68,15.92,7,3,1,0,0,0
16,132.53,140.07,6.56,6.73,6,10,1,0,0,0
17,186.91,170.56,7.88,8.58,12,5,3,0,1,0
18,286.14,274.68,14.2,13.59,19,5,3,1,1,1
19,244.38,256.82,12.74,15.62,12,3,2,0,0,0
20,181.05,203.64,15.74,15.49,19,9,1,1,0,0
21,325.33,356.76,12.86,11.67,7,4,1,1,0,0
22,112.77,113.7,11.52,13.57,4,5,1,0,0,0
23,181.47,172.62,4.41,3.17,8,4,3,1,1,1
24,214.86,223.54,8.52,9.37,4,5,2,0,0,0
25,255.23,227.38,6.98,5.52,15,7,3,1,1,1
26,403.33,370.38,6.66,8.36,13,9,2,0,1,0
27,139.85,160.97,17.6,16.68,13,7,1,1,0,0
28,281.41,292.72,8.9,9.14,18,5,1,0,0,0
29,316.59,305.58,16.38,17.73,13,10,2,0,1,0
30,70.9,76.78,12.47,7.66,17,10,1,1,0,0
31,323.4,365.02,14.92,12.98,18,7,2,1,0,0
32,126.74,121.1,10.54,12.74,13,10,1,0,1,0
33,79.27,75.89,11.65,13.68,18,5,1,0,1,0
34,477.0,450.64,10.39,10.98,10,3,1,0,1,0
35,484.53,531.24,5.93,4.33,6,7,1,1,0,0
36,413.78,454.06,13.84,15.46,10,2,1,0,0,0
37,187.08,213.0,7.21,8.24,6,9,1,0,0,0
38,93.95,103.43,3.36,3.4,5,10,1,0,0,0
39,357.9,299.49,12.68,15.78,5,10,2,0,1,0
40,248.07,255.04,5.66,4.88,20,1,2,1,0,0
41,104.92,93.81,17.11,15.36,7,6,4,1,1,1
42,272.83,258.84,17.31,8.71,20,7,3,1,1,1
43,65.47,66.59,16.72,19.8,12,8,1,0,0,0
44,459.19,497.56,8.55,9.09,8,10,2,0,0,0
45,166.45,151.62,3.23,2.14,3,9,3,1,1,1
46,348.14,267.2,16.92,10.97,7,2,3,1,1,1
47,190.27,193.7,9.42,7.78,11,10,2,1,0,0
48,284.03,359.12,17.5,20.28,14,2,1,0,0,0
49,296.02,290.01,17.45,16.41,16,5,4,1,1,1
